Extension (m),Force (N)
-5.6435038e-06,-1.323995e-08
-5.6433137e-06,-1.3239416e-08
-5.6431236e-06,-1.3236226e-08
-5.642934e-06,-1.3231988e-08
-5.6427452e-06,-1.3227031e-08
-5.6425565e-06,-1.3223089e-08
-5.6423683e-06,-1.322301e-08
-5.6421804e-06,-1.3226086e-08
-5.641993e-06,-1.3229211e-08
-5.6418057e-06,-1.3230358e-08
-5.641618e-06,-1.3228227e-08
-5.64143e-06,-1.3223392e-08
-5.6412414e-06,-1.321954e-08
-5.641052e-06,-1.3219997e-08
-5.640862e-06,-1.3224399e-08
-5.6406716e-06,-1.3227926e-08
-5.6404806e-06,-1.3229329e-08
-5.6402896e-06,-1.3229395e-08
-5.6400995e-06,-1.3226607e-08
-5.639911e-06,-1.3221702e-08
-5.639724e-06,-1.3217613e-08
-5.6395384e-06,-1.3215678e-08
-5.639355e-06,-1.3214617e-08
-5.639173e-06,-1.3213784e-08
-5.6389927e-06,-1.3215234e-08
-5.6388126e-06,-1.3219334e-08
-5.6386325e-06,-1.3224552e-08
-5.638452e-06,-1.32280515e-08
-5.63827e-06,-1.322735e-08
-5.6380877e-06,-1.32250575e-08
-5.637905e-06,-1.3224318e-08
-5.637721e-06,-1.322528e-08
-5.6375375e-06,-1.3227387e-08
-5.6373524e-06,-1.3229476e-08
-5.6371664e-06,-1.3229417e-08
-5.6369795e-06,-1.3229007e-08
-5.6367912e-06,-1.3229614e-08
-5.636602e-06,-1.3229241e-08
-5.6364115e-06,-1.3227118e-08
-5.636219e-06,-1.3224969e-08
-5.6360254e-06,-1.3223231e-08
-5.63583e-06,-1.322026e-08
-5.635632e-06,-1.3217814e-08
-5.6354315e-06,-1.3219985e-08
-5.635228e-06,-1.32245175e-08
-5.6350214e-06,-1.3225522e-08
-5.634813e-06,-1.3222814e-08
-5.634603e-06,-1.3219163e-08
-5.634392e-06,-1.3217103e-08
-5.6341814e-06,-1.3217864e-08
-5.633972e-06,-1.3219323e-08
-5.6337644e-06,-1.3217035e-08
-5.63356e-06,-1.3210518e-08
-5.6333593e-06,-1.3205105e-08
-5.6331623e-06,-1.32044224e-08
-5.6329704e-06,-1.32075115e-08
-5.6327826e-06,-1.32111255e-08
-5.6325994e-06,-1.3213712e-08
-5.6324197e-06,-1.3216042e-08
-5.632244e-06,-1.3217739e-08
-5.632072e-06,-1.3218594e-08
-5.6319022e-06,-1.3219742e-08
-5.631736e-06,-1.3220079e-08
-5.6315716e-06,-1.3217723e-08
-5.631409e-06,-1.3215381e-08
-5.6312465e-06,-1.3214482e-08
-5.6310846e-06,-1.321362e-08
-5.6309223e-06,-1.3212774e-08
-5.6307595e-06,-1.321362e-08
-5.6305953e-06,-1.32152005e-08
-5.63043e-06,-1.3216486e-08
-5.630264e-06,-1.3219074e-08
-5.6300964e-06,-1.3222286e-08
-5.6299286e-06,-1.322365e-08
-5.6297604e-06,-1.3220961e-08
-5.629592e-06,-1.3215712e-08
-5.629423e-06,-1.3212355e-08
-5.629254e-06,-1.3211848e-08
-5.6290837e-06,-1.3212786e-08
-5.628913e-06,-1.3215785e-08
-5.6287417e-06,-1.3221698e-08
-5.6285694e-06,-1.3225996e-08
-5.6283966e-06,-1.3225047e-08
-5.6282224e-06,-1.32205535e-08
-5.6280473e-06,-1.3216593e-08
-5.627871e-06,-1.32155575e-08
-5.6276936e-06,-1.3216573e-08
-5.627514e-06,-1.3218451e-08
-5.6273325e-06,-1.3220226e-08
-5.6271483e-06,-1.321981e-08
-5.6269614e-06,-1.3218413e-08
-5.626772e-06,-1.3217093e-08
-5.626579e-06,-1.3214816e-08
-5.626384e-06,-1.3211995e-08
-5.6261856e-06,-1.3210986e-08
-5.625985e-06,-1.3213432e-08
-5.625782e-06,-1.3219497e-08
-5.625576e-06,-1.3226726e-08
-5.6253675e-06,-1.32311655e-08
-5.6251574e-06,-1.3232983e-08
-5.6249455e-06,-1.3232947e-08
-5.6247327e-06,-1.3231226e-08
-5.6245203e-06,-1.3228686e-08
-5.6243084e-06,-1.3227901e-08
-5.6240983e-06,-1.3229036e-08
-5.62389e-06,-1.3228385e-08
